id	source	chart_type	title	narrative_intent	color_palette	bg	shape	highlight	annotation	composition	typography	reading_path	keywords
272	ProPublica 民事资产没收调查	点密度地图	ProPublica — 民事资产没收：警察扣押金额的点密度地图	展示美国各地警察通过民事资产没收扣押的财产规模——每个点代表一个案例，密度即强度			每个案例用红色半透明圆点表示，叠加后颜色加深代表该区域扣押案例密度；高金额案例用更大半径的实心点	城市名标注在点群中心，右上角放总金额统计面板，底部放年度时间轴迷你图	全幅美国地图底图 + 点密度叠加 + 右上角统计面板 + 底部年度趋势	Sans-serif，城市标注 10px，统计数字 24px 加粗等宽，年度标签 9px	第一眼→深红色密集区域（扣押热区） → 第二眼→单个大点代表的高额案例 → 最终理解→扣押行为集中在特定州和特定路线	点密度地图,ProPublica
273	ProPublica《Poison in the Air》(2021)	日历热力图（Calendar Heatmap）	ProPublica — Poison in the Air：工业排放的时序热力图	以日历形式展示工业设施每日有毒排放量，让读者看到"不是偶尔超标，是天天在排"			排放量用白→红渐变编码每日数值，超标日用实心红色 #e94560，无数据日用灰色 #E0E0E0	左侧标注月份名，顶部标注星期，超标日悬停显示具体物质和浓度值	52列×7行的日历网格，每格一天，颜色编码排放量	Sans-serif，月份标签 11px，星期标签 9px，悬停详情 12px	第一眼→大片红色区域 → 第二眼→红色不是零星分布而是连续成片 → 最终理解→超标不是偶发事件，是日常	日历热力图（Calendar ,ProPublica
274	ProPublica 零工经济工人安全调查	层叠面积图（Stacked Area Chart）	ProPublica — 临时工工伤：零工经济伤害统计的层叠面积图	展示零工经济工人伤害报告的年度增长趋势，按伤害类型分层——"看不见的工人正在承担看得见的伤害"			三种伤害类型用暖色系区分（致死 #e94560、重伤 #FF7043、轻伤 #FFB74D），致命伤害层在底部用最深色	每层末端标注伤害类型+数量，增长加速区间用虚线框标注，右侧放同比增幅	横向时间轴，纵向层叠面积，底部=致死，顶部=轻伤	Sans-serif，年份 11px，层数标注 12px 加粗，增幅 13px 红色等宽	第一眼→整体面积的上升趋势 → 第二眼→底部红色层（致死）的增长斜率 → 最终理解→零工伤害在加速增长，且致死比例在上升	层叠面积图（Stacked A,ProPublica
275	ProPublica 刑事司法数据分析	箱线图（Box Plot）分组对比	ProPublica — 量刑差距：种族与刑期的箱线图对比	对比不同种族被告在相同罪名下的刑期分布，让系统性差距从分布形态上变得可见			黑人被告箱体用红色 #e94560 填充，白人被告用蓝色 #5C8BC4，亚裔/拉丁裔用灰色 #90A4AE	每组箱体下方标注种族名，中位数线用白色标注具体月数，异常值点标注案例细节	分组箱线图，X轴=罪名类型，Y轴=刑期月数，同一罪名下并列不同种族的箱体	Sans-serif，罪名标签 11px，月数 12px 等宽，标题 20px 加粗	第一眼→同组中红箱（黑人）明显高于蓝箱（白人） → 第二眼→异常值点的极端刑期 → 最终理解→同等罪名下种族间的系统性刑期差异	箱线图（Box Plot）分组,ProPublica
276	ProPublica Nursing Home Inspect	雷达图 + 地图联动	ProPublica — Nursing Home Inspect：养老院质量评级的雷达图+地图联动	让读者先在地图上找到附近养老院，再看该院在 staffing/health inspection/quality 等维度的雷达图——"你家附近的养老院到底行不行"			低于全国平均的维度用红色填充，高于平均用绿色，选中养老院在地图上用红色脉冲圆标记	雷达图每个顶点标注维度名+评分，地图上标注养老院名称	左侧地图（可交互选点），右侧雷达图（动态响应选中养老院）	Sans-serif，维度名 11px，评分 13px 加粗，养老院名 14px	第一眼→地图上的红色脉冲点 → 第二眼→右侧雷达图的红色凹陷区域 → 最终理解→这家养老院在哪些维度不达标	雷达图 + 地图联动,ProPublica
277	ProPublica 临时工中介剥削调查	分面条形图（Faceted Bar Chart）	ProPublica — 临时工中介：工人薪资抽成的分面条形图	按行业分面展示临时工时薪与正式工时薪的差距——"同一份工作，两种价格"			正式工时薪用深蓝实心柱，临时工实发时薪用红色柱，两者并列形成"差距对"	每对柱顶标注时薪差额和百分比，分面标题即行业名	多行分面，每面一个行业，面内双柱对比（正式vs临时），统一纵轴刻度	Sans-serif，行业名 13px 加粗，时薪 12px 等宽，差额百分比 14px 红色加粗	第一眼→找自己所在行业的分面 → 第二眼→红蓝柱的高度差 → 最终理解→临时工被抽成的比例在不同行业有多严重	分面条形图（Faceted B,ProPublica
278	ProPublica 算法公平性调查	重叠直方图（Overlapping Histogram）	ProPublica — 信用评分偏见：算法评分分布的重叠直方图	展示不同种族群体的信用评分分布——分布高度重合，但算法在相同分数段给出截然不同的待遇			黑人群体用半透明红色 #e94560 填充，白人群体用半透明蓝色 #5C8BC4，重叠区域自然混色	底部放评分刻度轴，两侧标注群体名+样本量，关键分数段（如620-680）用矩形框标注"算法决策区"	单坐标系重叠直方图，X轴=信用评分，Y轴=频数密度	Sans-serif，刻度标签 10px，群体标注 13px 加粗，矩形框内说明 11px	第一眼→两个分布的高度重叠 → 第二眼→重叠区内算法仍然区分对待 → 最终理解→分布几乎一样，歧视不在数据在算法	重叠直方图（Overlappi,ProPublica
279	ProPublica 消防员健康调查	水平条形排行图（Ranked Bar Chart）	ProPublica — 消防员癌症：职业暴露风险的条形排行图	按癌症类型排行展示消防员相对普通人群的癌症发病风险倍数——"这不是偶然，是系统性职业危害"			所有条形用红色 #e94560 实心填充，风险倍数最高的（如间皮瘤）用最深色加粗边框	条形末端标注具体风险倍数（如"2.3x"），左侧标注癌症类型名，顶部标注"普通人群=1.0x"的参考线	水平条形图，按风险倍数从高到低排列，顶部参考线	Sans-serif，癌症名 12px，倍数 14px 加粗等宽，参考线标注 11px	第一眼→最长的条形（最高风险癌症） → 第二眼→几乎所有条形都超过参考线 → 最终理解→消防员在多种癌症上的系统性高风险	水平条形排行图（Ranked ,ProPublica
280	ProPublica 医疗保险拒赔调查	梯度色块矩阵（Choropleth Matrix / Tile Grid）	ProPublica — 保险拒赔：医疗理赔被拒率的梯度色块矩阵	按保险公司×疾病类型展示理赔被拒率——揭示"哪家保险公司在哪种病上最可能拒赔"			拒赔率用白→深蓝渐变填充，高于行业平均的单元格用红色边框 #e94560，最高拒赔率单元格内文字变白	行头=保险公司名，列头=疾病类型，单元格内标注具体百分比	行×列色块矩阵，底部放渐变图例条，右上角放行业平均参考值	Sans-serif，百分比 11px 加粗等宽，公司名 10px，疾病名 10px 旋转45度	第一眼→最深的色块 → 第二眼→哪一行（哪家公司）颜色普遍更深 → 最终理解→拒赔不是随机事件，某些公司在某些病种上系统性拒赔	梯度色块矩阵（Chorople,ProPublica
281	FiveThirtyEight 2020 Presidential Election Forecast	区间概率图（Probability Range / Fan Chart）	FiveThirtyEight — 2020 选举预测：概率分布的区间图	展示选举结果的概率分布而非单一预测值——"不是谁赢，是赢多少的概率分布"			民主党胜率区间用橙色 #ff7e22 半透明填充，共和党用粉红 #f9547a，最可能结果区间用实心色	中位数线标注具体选举人票数，80%和95%置信区间边界用虚线标注，底部标注关键摇摆州	横向区间图，X轴=选举人票数，Y轴=概率密度，中间270票线用粗线标注	Sans-serif（Din/Fira Sans），选举人票数 14px 等宽加粗，区间标签 11px	第一眼→270票分界线 → 第二眼→哪个颜色的区间跨越了270线 → 最终理解→不是"谁赢"，是"赢的概率区间有多宽"	区间概率图（Probabili,FiveThirty
282	FiveThirtyEight Pollster Ratings	蜜蜂群图（Beeswarm Plot）	FiveThirtyEight — 民意调查可靠性：蜜蜂群图	展示各民调机构的预测误差分布——"不是所有民调都一样可靠"，让读者看到哪家准、哪家偏			评级A+的机构用橙色实心大点 #ff7e22，C级机构用灰色小点，误差大的用红色描边 #f9547a	右侧标注机构名+评级字母，底部放误差刻度轴，离群点标注具体选举年份和误差值	水平蜜蜂群图，X轴=预测误差（A+→C），点沿垂直方向散开避免重叠	Sans-serif，机构名 10px，评级 12px 加粗，误差值 9px 等宽	第一眼→左侧密集的橙色点群（准确机构） → 第二眼→右侧散落的灰色/红色点（不准机构） → 最终理解→民调质量差距巨大，评级差异显著	蜜蜂群图（Beeswarm P,FiveThirty
283	FiveThirtyEight NBA Player Projections	四象限散点图	FiveThirtyEight — NBA 球员效率：散点+四象限矩阵	用进攻效率 vs 防守效率将球员分为四类：明星（右上）、进攻型（右下）、防守型（左上）、拖后腿（左下）			明星球员用橙色大点 #ff7e22 + 球员名标注，普通球员用灰色小点，联盟平均线用虚线十字分割四象限	联盟平均线标注具体数值，四个象限角标注象限名（明星/进攻型/防守型/拖后腿），关键球员标注姓名	散点图，X轴=防守效率，Y轴=进攻效率，虚线十字分割四象限	Sans-serif，球员名 9px，轴标签 11px，象限名 13px 加粗	第一眼→右上象限的橙色点 → 第二眼→自己关注的球员在哪个象限 → 最终理解→进攻和防守是两个独立维度，"好球员"的定义取决于你选哪个象限	四象限散点图,FiveThirty
284	FiveThirtyEight COVID-19 Forecast	带状区间图（Ribbon/Fan Chart）	FiveThirtyEight — COVID 模型：每日死亡预测的带状区间图	展示 COVID 每日死亡人数的多模型预测区间——"不同模型给出不同答案，真相大概率在中间"			所有模型预测的中位数用橙色实线 #ff7e22，模型间预测范围用粉红半透明带 #f9547a 填充	顶部标注当前实际数据与预测的偏差，右侧标注各模型的预测范围，底部标注关键政策节点	横向时间轴，实际数据用实心柱，预测区间用半透明带状叠加	Sans-serif，日期 10px，死亡人数 12px 等宽加粗，模型名 9px	第一眼→橙色中位线与实际数据的贴合度 → 第二眼→粉色带的宽度（模型分歧程度） → 最终理解→不确定性本身是有价值的信息	带状区间图（Ribbon/Fa,FiveThirty
285	FiveThirtyEight 文化数据分析	斜率图（Slopegraph）	FiveThirtyEight — 畅销书榜单变化：斜率图	展示畅销书榜单排名从上周到本周的变化——上升的线和下降的线一眼可辨			排名上升的书用橙色线 #ff7e22，下降用粉红 #f9547a，不变用灰色，新上榜用虚线从底部切入	左侧标注上周排名+书名，右侧标注本周排名+书名，线中间不标注保持干净	双纵轴斜率图，左"上周"，右"本周"，斜率=变化方向	Sans-serif，书名 11px，排名数字 13px 加粗等宽，标题 20px	第一眼→最陡的橙色上升线 → 第二眼→粉红色线的下降幅度 → 最终理解→榜单变化的全貌和个体书的命运	斜率图（Slopegraph）,FiveThirty
286	FiveThirtyEight 性别薪酬分析	分面柱状图（Faceted Bar Chart）	FiveThirtyEight — 性别薪酬差距：分面柱状图	按行业分面展示男女薪酬差距，揭示"差距不是均匀的——某些行业比其他行业严重得多"			男性薪酬用深灰柱 #333333，女性用橙色柱 #ff7e22，差距最大的行业分面用橙色边框标注	每对柱顶标注薪酬差额百分比，分面标题=行业名，底部统一X轴刻度	多行分面网格，每面一个行业，面内双柱对比（男vs女）	Sans-serif，行业名 12px 加粗，薪酬 11px 等宽，差百分比 13px 橙色加粗	第一眼→橙色边框标注的"最差行业" → 第二眼→各分面中橙柱和灰柱的高度差 → 最终理解→性别薪酬差距的行业分布极不均匀	分面柱状图（Faceted B,FiveThirty
287	FiveThirtyEight The Voters Who Could Swing The Election	插图+数据混合卡片（Illustrated Data Card）	FiveThirtyEight — 选民画像：卡通插图+数据组合图	用卡通人物头像代表不同选民群体，每组配一组核心数据——让"摇摆选民"从抽象群体变成具体面孔			每个选民群体用独特卡通头像+主题色（如"郊区女性"用橙色系），关键数据用大号数字突出	头像下方标注群体名+人口占比，右侧放3-4个关键统计数字（投票率、偏好候选人、关键议题）	卡片网格，每张卡片=一个选民群体=头像+标题+迷你数据组	Sans-serif（Din），群体名 16px 加粗，统计数字 28px 等宽，细节描述 11px	第一眼→卡通头像的个性 → 第二眼→头像下方的群体标签 → 最终理解→每个群体背后的数据画像	插图+数据混合卡片（Illus,FiveThirty
288	FiveThirtyEight 好莱坞票房分析	脊柱信息图（Spine Chart / Dumbbell Chart）	FiveThirtyEight — 电影票房：脊柱信息图	对比电影的预算 vs 票房回报——"投入与回报之间的距离就是利润或亏损"			预算→票房之间的连接线，盈利用橙色 #ff7e22，亏损用粉红 #f9547a，线越长代表利润/亏损越大	左端标注预算金额，右端标注票房金额，线上标注利润率和片名	哑铃图，左端=预算，右端=票房，连接线=利润/亏损空间，按利润率排行	Sans-serif，片名 11px，金额 12px 等宽，利润率 13px 加粗	第一眼→最长的橙色线（最大盈利）和最长的粉红线（最大亏损） → 第二眼→中间区域的电影分布 → 最终理解→高预算≠高回报，亏损集中在特定类型	脊柱信息图（Spine Cha,FiveThirty
